"Datum","Uhrzeit","Type","LS","Event","EventSec","pseudodate","EventC","Year"
2020-08-07,"00:14:04","LichtS","A","aus",844,"2020-08-06",-1,"2020"
2020-08-07,"00:23:00","LichtS","A","ein",1380,"2020-08-06",1,"2020"
2020-08-07,"00:30:59","LichtS","A","aus",1859,"2020-08-06",-1,"2020"
2020-08-07,"01:54:23","LichtS","A","ein",6863,"2020-08-06",1,"2020"
2020-08-07,"02:36:05","LichtS","A","ein",9365,"2020-08-06",1,"2020"
2020-08-07,"02:36:08","LichtS","A","aus",9368,"2020-08-06",-1,"2020"
2020-08-08,"00:34:18","LichtS","A","ein",2058,"2020-08-07",1,"2020"
2020-08-08,"00:34:43","LichtS","A","ein",2083,"2020-08-07",1,"2020"
2020-08-08,"00:58:10","LichtS","A","ein",3490,"2020-08-07",1,"2020"
2020-08-08,"01:28:35","LichtS","A","ein",5315,"2020-08-07",1,"2020"
2020-08-08,"01:31:59","LichtS","A","aus",5519,"2020-08-07",-1,"2020"
2020-08-08,"01:33:30","LichtS","A","aus",5610,"2020-08-07",-1,"2020"
2020-08-08,"02:38:28","LichtS","A","ein",9508,"2020-08-07",1,"2020"
2020-08-08,"02:46:01","LichtS","A","aus",9961,"2020-08-07",-1,"2020"
2020-08-08,"03:03:37","LichtS","A","aus",11017,"2020-08-07",-1,"2020"
2020-08-08,"03:07:12","LichtS","A","aus",11232,"2020-08-07",-1,"2020"
2020-08-08,"03:41:05","LichtS","A","ein",13265,"2020-08-07",1,"2020"
2020-08-08,"04:07:09","LichtS","A","aus",14829,"2020-08-07",-1,"2020"
2020-08-08,"04:07:12","LichtS","A","ein",14832,"2020-08-07",1,"2020"
2020-08-08,"20:26:13","LichtS","A","aus",73573,"2020-08-08",-1,"2020"
2020-08-08,"20:26:53","LichtS","A","ein",73613,"2020-08-08",1,"2020"
2020-08-08,"20:46:18","LichtS","A","aus",74778,"2020-08-08",-1,"2020"
2020-08-09,"00:11:07","LichtS","A","ein",667,"2020-08-08",1,"2020"
2020-08-09,"00:52:09","LichtS","A","ein",3129,"2020-08-08",1,"2020"
2020-08-09,"01:00:31","LichtS","A","ein",3631,"2020-08-08",1,"2020"
2020-08-09,"01:00:36","LichtS","A","aus",3636,"2020-08-08",-1,"2020"
2020-08-09,"01:00:36","LichtS","A","ein",3636,"2020-08-08",1,"2020"
2020-08-09,"01:01:05","LichtS","A","ein",3665,"2020-08-08",1,"2020"
2020-08-09,"01:07:25","LichtS","A","aus",4045,"2020-08-08",-1,"2020"
2020-08-09,"01:10:21","LichtS","A","aus",4221,"2020-08-08",-1,"2020"
2020-08-09,"01:14:16","LichtS","A","ein",4456,"2020-08-08",1,"2020"
2020-08-09,"01:40:31","LichtS","A","aus",6031,"2020-08-08",-1,"2020"
2020-08-09,"01:40:31","LichtS","A","ein",6031,"2020-08-08",1,"2020"
2020-08-09,"01:46:35","LichtS","A","ein",6395,"2020-08-08",1,"2020"
2020-08-09,"01:48:12","LichtS","A","aus",6492,"2020-08-08",-1,"2020"
2020-08-09,"01:48:18","LichtS","A","aus",6498,"2020-08-08",-1,"2020"
2020-08-09,"01:48:18","LichtS","A","ein",6498,"2020-08-08",1,"2020"
2020-08-09,"01:48:18","LichtS","A","aus",6498,"2020-08-08",-1,"2020"
2020-08-09,"01:48:59","LichtS","A","aus",6539,"2020-08-08",-1,"2020"
2020-08-09,"02:09:09","LichtS","A","ein",7749,"2020-08-08",1,"2020"
2020-08-09,"02:23:28","LichtS","A","aus",8608,"2020-08-08",-1,"2020"
2020-08-09,"02:53:15","LichtS","A","aus",10395,"2020-08-08",-1,"2020"
2020-08-09,"02:53:15","LichtS","A","ein",10395,"2020-08-08",1,"2020"
2020-08-09,"02:54:14","LichtS","A","aus",10454,"2020-08-08",-1,"2020"
2020-08-09,"02:54:19","LichtS","A","aus",10459,"2020-08-08",-1,"2020"
2020-08-09,"02:54:19","LichtS","A","ein",10459,"2020-08-08",1,"2020"
2020-08-09,"02:54:53","LichtS","A","aus",10493,"2020-08-08",-1,"2020"
