"Datum","Uhrzeit","Type","LS","Event","EventSec","pseudodate","EventC","Year"
2020-05-15,"02:12:19","LichtS","A","ein",7939,"2020-05-14",1,"2020"
2020-05-15,"02:13:20","LichtS","A","ein",8000,"2020-05-14",1,"2020"
2020-05-15,"02:18:02","LichtS","A","ein",8282,"2020-05-14",1,"2020"
2020-05-15,"02:25:13","LichtS","A","ein",8713,"2020-05-14",1,"2020"
2020-05-15,"02:41:37","LichtS","A","ein",9697,"2020-05-14",1,"2020"
2020-05-15,"02:41:37","LichtS","A","ein",9697,"2020-05-14",1,"2020"
2020-05-15,"02:51:26","LichtS","A","aus",10286,"2020-05-14",-1,"2020"
2020-05-15,"20:30:27","LichtS","A","aus",73827,"2020-05-15",-1,"2020"
2020-05-15,"20:32:15","LichtS","A","aus",73935,"2020-05-15",-1,"2020"
2020-05-15,"20:32:22","LichtS","A","ein",73942,"2020-05-15",1,"2020"
2020-05-15,"20:33:55","LichtS","A","aus",74035,"2020-05-15",-1,"2020"
2020-05-15,"20:46:41","LichtS","A","ein",74801,"2020-05-15",1,"2020"
2020-05-15,"21:02:05","LichtS","A","aus",75725,"2020-05-15",-1,"2020"
2020-05-15,"21:05:52","LichtS","A","aus",75952,"2020-05-15",-1,"2020"
2020-05-15,"21:06:15","LichtS","A","aus",75975,"2020-05-15",-1,"2020"
2020-05-15,"21:06:43","LichtS","A","aus",76003,"2020-05-15",-1,"2020"
2020-05-15,"21:07:08","LichtS","A","aus",76028,"2020-05-15",-1,"2020"
2020-05-15,"21:09:51","LichtS","A","aus",76191,"2020-05-15",-1,"2020"
2020-05-15,"21:14:20","LichtS","A","aus",76460,"2020-05-15",-1,"2020"
2020-05-15,"21:15:16","LichtS","A","aus",76516,"2020-05-15",-1,"2020"
2020-05-15,"21:15:54","LichtS","A","aus",76554,"2020-05-15",-1,"2020"
2020-05-15,"21:16:50","LichtS","A","aus",76610,"2020-05-15",-1,"2020"
2020-05-15,"21:16:50","LichtS","A","ein",76610,"2020-05-15",1,"2020"
2020-05-15,"21:24:43","LichtS","A","ein",77083,"2020-05-15",1,"2020"
2020-05-15,"21:24:43","LichtS","A","aus",77083,"2020-05-15",-1,"2020"
2020-05-15,"21:30:02","LichtS","A","aus",77402,"2020-05-15",-1,"2020"
2020-05-15,"21:30:02","LichtS","A","aus",77402,"2020-05-15",-1,"2020"
2020-05-15,"21:30:07","LichtS","A","aus",77407,"2020-05-15",-1,"2020"
2020-05-15,"21:30:08","LichtS","A","ein",77408,"2020-05-15",1,"2020"
2020-05-15,"21:38:27","LichtS","A","aus",77907,"2020-05-15",-1,"2020"
2020-05-15,"21:38:27","LichtS","A","aus",77907,"2020-05-15",-1,"2020"
2020-05-15,"21:38:27","LichtS","A","ein",77907,"2020-05-15",1,"2020"
2020-05-15,"21:39:36","LichtS","A","aus",77976,"2020-05-15",-1,"2020"
2020-05-15,"21:45:17","LichtS","A","aus",78317,"2020-05-15",-1,"2020"
2020-05-15,"21:46:58","LichtS","A","aus",78418,"2020-05-15",-1,"2020"
2020-05-15,"21:49:25","LichtS","A","aus",78565,"2020-05-15",-1,"2020"
2020-05-15,"21:49:46","LichtS","A","aus",78586,"2020-05-15",-1,"2020"
2020-05-15,"21:52:16","LichtS","A","aus",78736,"2020-05-15",-1,"2020"
2020-05-15,"21:53:43","LichtS","A","aus",78823,"2020-05-15",-1,"2020"
2020-05-15,"21:55:27","LichtS","A","aus",78927,"2020-05-15",-1,"2020"
2020-05-15,"22:03:34","LichtS","A","ein",79414,"2020-05-15",1,"2020"
2020-05-15,"22:08:04","LichtS","A","aus",79684,"2020-05-15",-1,"2020"
2020-05-15,"22:11:43","LichtS","A","aus",79903,"2020-05-15",-1,"2020"
2020-05-15,"22:11:43","LichtS","A","ein",79903,"2020-05-15",1,"2020"
2020-05-15,"22:12:23","LichtS","A","aus",79943,"2020-05-15",-1,"2020"
2020-05-15,"22:14:12","LichtS","A","aus",80052,"2020-05-15",-1,"2020"
2020-05-15,"22:23:19","LichtS","A","aus",80599,"2020-05-15",-1,"2020"
2020-05-15,"22:23:32","LichtS","A","aus",80612,"2020-05-15",-1,"2020"
2020-05-15,"22:23:46","LichtS","A","aus",80626,"2020-05-15",-1,"2020"
2020-05-15,"22:23:47","LichtS","A","ein",80627,"2020-05-15",1,"2020"
2020-05-15,"22:23:47","LichtS","A","ein",80627,"2020-05-15",1,"2020"
2020-05-15,"22:23:47","LichtS","A","ein",80627,"2020-05-15",1,"2020"
2020-05-15,"22:24:16","LichtS","A","ein",80656,"2020-05-15",1,"2020"
2020-05-15,"22:24:31","LichtS","A","ein",80671,"2020-05-15",1,"2020"
2020-05-15,"22:24:39","LichtS","A","ein",80679,"2020-05-15",1,"2020"
2020-05-15,"22:44:31","LichtS","A","aus",81871,"2020-05-15",-1,"2020"
2020-05-15,"22:48:46","LichtS","A","aus",82126,"2020-05-15",-1,"2020"
2020-05-15,"22:55:47","LichtS","A","aus",82547,"2020-05-15",-1,"2020"
2020-05-15,"23:00:45","LichtS","A","aus",82845,"2020-05-15",-1,"2020"
2020-05-15,"23:10:37","LichtS","A","aus",83437,"2020-05-15",-1,"2020"
2020-05-15,"23:12:52","LichtS","A","aus",83572,"2020-05-15",-1,"2020"
2020-05-15,"23:12:53","LichtS","A","ein",83573,"2020-05-15",1,"2020"
2020-05-15,"23:13:18","LichtS","A","aus",83598,"2020-05-15",-1,"2020"
2020-05-15,"23:13:27","LichtS","A","aus",83607,"2020-05-15",-1,"2020"
2020-05-15,"23:19:49","LichtS","A","ein",83989,"2020-05-15",1,"2020"
2020-05-15,"23:21:34","LichtS","A","aus",84094,"2020-05-15",-1,"2020"
2020-05-15,"23:26:03","LichtS","A","aus",84363,"2020-05-15",-1,"2020"
2020-05-15,"23:27:26","LichtS","A","ein",84446,"2020-05-15",1,"2020"
2020-05-15,"23:39:54","LichtS","A","aus",85194,"2020-05-15",-1,"2020"
2020-05-16,"00:04:52","LichtS","A","aus",292,"2020-05-15",-1,"2020"
2020-05-16,"00:18:56","LichtS","A","aus",1136,"2020-05-15",-1,"2020"
2020-05-16,"00:28:09","LichtS","A","aus",1689,"2020-05-15",-1,"2020"
2020-05-16,"00:31:03","LichtS","A","ein",1863,"2020-05-15",1,"2020"
2020-05-16,"00:31:50","LichtS","A","ein",1910,"2020-05-15",1,"2020"
2020-05-16,"01:32:30","LichtS","A","ein",5550,"2020-05-15",1,"2020"
2020-05-16,"01:32:38","LichtS","A","aus",5558,"2020-05-15",-1,"2020"
2020-05-16,"01:33:02","LichtS","A","aus",5582,"2020-05-15",-1,"2020"
2020-05-16,"01:37:21","LichtS","A","ein",5841,"2020-05-15",1,"2020"
2020-05-16,"01:40:16","LichtS","A","ein",6016,"2020-05-15",1,"2020"
2020-05-16,"01:46:12","LichtS","A","aus",6372,"2020-05-15",-1,"2020"
2020-05-16,"01:51:25","LichtS","A","ein",6685,"2020-05-15",1,"2020"
2020-05-16,"01:53:19","LichtS","A","aus",6799,"2020-05-15",-1,"2020"
2020-05-16,"02:27:27","LichtS","A","ein",8847,"2020-05-15",1,"2020"
2020-05-16,"02:45:32","LichtS","A","ein",9932,"2020-05-15",1,"2020"
2020-05-16,"21:06:02","LichtS","A","aus",75962,"2020-05-16",-1,"2020"
2020-05-16,"21:12:15","LichtS","A","aus",76335,"2020-05-16",-1,"2020"
2020-05-16,"21:34:47","LichtS","A","aus",77687,"2020-05-16",-1,"2020"
2020-05-16,"21:35:50","LichtS","A","aus",77750,"2020-05-16",-1,"2020"
2020-05-16,"21:51:20","LichtS","A","aus",78680,"2020-05-16",-1,"2020"
2020-05-16,"21:58:01","LichtS","A","aus",79081,"2020-05-16",-1,"2020"
2020-05-16,"21:58:16","LichtS","A","aus",79096,"2020-05-16",-1,"2020"
2020-05-16,"22:24:46","LichtS","A","aus",80686,"2020-05-16",-1,"2020"
2020-05-16,"23:24:19","LichtS","A","ein",84259,"2020-05-16",1,"2020"
2020-05-16,"23:31:05","LichtS","A","ein",84665,"2020-05-16",1,"2020"
2020-05-16,"23:37:48","LichtS","A","ein",85068,"2020-05-16",1,"2020"
2020-05-16,"23:54:19","LichtS","A","ein",86059,"2020-05-16",1,"2020"
2020-05-16,"23:54:23","LichtS","A","ein",86063,"2020-05-16",1,"2020"
2020-05-16,"23:54:27","LichtS","A","ein",86067,"2020-05-16",1,"2020"
2020-05-16,"23:54:48","LichtS","A","ein",86088,"2020-05-16",1,"2020"
2020-05-17,"00:01:23","LichtS","A","ein",83,"2020-05-16",1,"2020"
2020-05-17,"00:03:12","LichtS","A","aus",192,"2020-05-16",-1,"2020"
2020-05-17,"00:04:00","LichtS","A","ein",240,"2020-05-16",1,"2020"
2020-05-17,"00:10:19","LichtS","A","ein",619,"2020-05-16",1,"2020"
2020-05-17,"00:11:42","LichtS","A","ein",702,"2020-05-16",1,"2020"
2020-05-17,"00:12:36","LichtS","A","ein",756,"2020-05-16",1,"2020"
2020-05-17,"00:19:06","LichtS","A","ein",1146,"2020-05-16",1,"2020"
2020-05-17,"00:19:06","LichtS","A","aus",1146,"2020-05-16",-1,"2020"
2020-05-17,"00:23:39","LichtS","A","aus",1419,"2020-05-16",-1,"2020"
2020-05-17,"00:25:27","LichtS","A","ein",1527,"2020-05-16",1,"2020"
2020-05-17,"00:25:42","LichtS","A","ein",1542,"2020-05-16",1,"2020"
2020-05-17,"00:25:42","LichtS","A","ein",1542,"2020-05-16",1,"2020"
2020-05-17,"00:31:45","LichtS","A","aus",1905,"2020-05-16",-1,"2020"
2020-05-17,"00:33:26","LichtS","A","aus",2006,"2020-05-16",-1,"2020"
2020-05-17,"00:36:33","LichtS","A","ein",2193,"2020-05-16",1,"2020"
2020-05-17,"00:38:05","LichtS","A","aus",2285,"2020-05-16",-1,"2020"
2020-05-17,"00:43:20","LichtS","A","ein",2600,"2020-05-16",1,"2020"
2020-05-17,"00:43:32","LichtS","A","ein",2612,"2020-05-16",1,"2020"
2020-05-17,"00:47:45","LichtS","A","ein",2865,"2020-05-16",1,"2020"
2020-05-17,"00:55:34","LichtS","A","aus",3334,"2020-05-16",-1,"2020"
2020-05-17,"01:00:09","LichtS","A","ein",3609,"2020-05-16",1,"2020"
2020-05-17,"01:00:32","LichtS","A","ein",3632,"2020-05-16",1,"2020"
2020-05-17,"01:03:13","LichtS","A","ein",3793,"2020-05-16",1,"2020"
2020-05-17,"01:07:18","LichtS","A","aus",4038,"2020-05-16",-1,"2020"
2020-05-17,"01:10:36","LichtS","A","ein",4236,"2020-05-16",1,"2020"
2020-05-17,"01:14:14","LichtS","A","ein",4454,"2020-05-16",1,"2020"
2020-05-17,"01:25:56","LichtS","A","ein",5156,"2020-05-16",1,"2020"
