Video.file,Date,Time,Event,EventC,VideoC,Notes,X,Innerloop,Accuracy,Week,Site,Date_auto,Time_auto,TimeofYear,pseudodate,pseudoday
,21.8.2020,20:23:06,LS1 Einflug,1,0,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:23:06,20,21/08/2020,20
snip_2020_08_21_21_23_49_in.mp4,21.8.2020,20:23:57,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:23:57,20,21/08/2020,20
snip_2020_08_21_21_24_23_in.mp4,21.8.2020,20:24:30,LS1 Einflug,0,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:24:30,20,21/08/2020,20
,,,,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:24:30,20,21/08/2020,20
snip_2020_08_21_21_28_25_out.mp4,21.8.2020,20:28:33,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:28:33,20,21/08/2020,20
snip_2020_08_21_21_28_28_in.mp4,21.8.2020,20:28:36,LS1 Einflug,1,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:28:36,20,21/08/2020,20
snip_2020_08_21_21_28_29_out.mp4,21.8.2020,20:28:37,LS1 Ausflug,-1,1,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:28:37,20,21/08/2020,20
,21.8.2020,20:28:37,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:28:37,20,21/08/2020,20
snip_2020_08_21_21_28_29_in.mp4,21.8.2020,20:28:37,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:28:37,20,21/08/2020,20
snip_2020_08_21_21_28_41_out.mp4,21.8.2020,20:28:49,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:28:49,20,21/08/2020,20
,,,,0,1,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:28:49,20,21/08/2020,20
snip_2020_08_21_21_28_49_in.mp4,21.8.2020,20:28:56,LS1 Einflug,0,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:28:56,20,21/08/2020,20
,,,,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:28:56,20,21/08/2020,20
snip_2020_08_21_21_29_07_in.mp4,21.8.2020,20:29:15,LS1 Einflug,0,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:29:15,20,21/08/2020,20
,,,,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:29:15,20,21/08/2020,20
snip_2020_08_21_21_36_12_in.mp4,21.8.2020,20:36:20,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:36:20,20,21/08/2020,20
snip_2020_08_21_21_37_09_out.mp4,21.8.2020,20:37:17,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:37:17,20,21/08/2020,20
,21.8.2020,20:37:17,LS1 Ausflug,-1,0,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:37:17,20,21/08/2020,20
snip_2020_08_21_21_37_17_out.mp4,21.8.2020,20:37:25,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:37:25,20,21/08/2020,20
snip_2020_08_21_21_37_19_in.mp4,21.8.2020,20:37:26,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:37:26,20,21/08/2020,20
snip_2020_08_21_21_39_41_in.mp4,21.8.2020,20:39:49,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:39:49,20,21/08/2020,20
snip_2020_08_21_21_45_44_out.mp4,21.8.2020,20:45:52,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:45:52,20,21/08/2020,20
snip_2020_08_21_21_45_45_out.mp4,21.8.2020,20:45:53,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:45:53,20,21/08/2020,20
snip_2020_08_21_21_45_51_in.mp4,21.8.2020,20:45:59,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:45:59,20,21/08/2020,20
snip_2020_08_21_21_45_57_out.mp4,21.8.2020,20:46:05,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:46:05,20,21/08/2020,20
snip_2020_08_21_21_45_57_in.mp4,21.8.2020,20:46:05,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:46:05,20,21/08/2020,20
,21.8.2020,20:46:05,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:46:05,20,21/08/2020,20
,21.8.2020,20:46:05,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:46:05,20,21/08/2020,20
snip_2020_08_21_21_55_54_out.mp4,21.8.2020,20:56:01,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:56:01,20,21/08/2020,20
snip_2020_08_21_21_58_31_in.mp4,21.8.2020,20:58:39,LS1 Einflug,0,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:58:39,20,21/08/2020,20
,,,,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:58:39,20,21/08/2020,20
snip_2020_08_21_22_03_00_out.mp4,21.8.2020,21:03:07,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,21:03:07,20,21/08/2020,20
,21.8.2020,21:03:07,LS1 Ausflug,-1,0,,NA,NA,0,A4,Eldena_L16,21.8.2020,21:03:07,20,21/08/2020,20
snip_2020_08_21_22_03_00_in.mp4,21.8.2020,21:03:08,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,21:03:08,20,21/08/2020,20
snip_2020_08_21_22_06_00_in.mp4,21.8.2020,21:06:08,LS1 Einflug,1,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,21:06:08,20,21/08/2020,20
,21.8.2020,21:06:08,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,21:06:08,20,21/08/2020,20
snip_2020_08_21_22_12_38_in.mp4,21.8.2020,21:12:45,LS1 Einflug,0,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,21:12:45,20,21/08/2020,20
,,,,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,21:12:45,20,21/08/2020,20
snip_2020_08_21_22_25_54_in.mp4,21.8.2020,21:26:01,LS1 Einflug,1,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,21:26:01,20,21/08/2020,20
,21.8.2020,21:26:02,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,21:26:02,20,21/08/2020,20
