Video.files,Date,Time,Event,EventC,VideoC,Innerloop,Accuracy,Week,Site,Date_auto,Time_auto,TimeofYear,pseudodate,pseudoday
snip_2021_02_21_02_59_00_out.mp4,21.2.2021,2:59:03,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,21.2.2021,2:59:03,204,20/02/2021,203
,21.2.2021,2:59:03,LS1 Einflug,1,1,1,1,S1,Eldena_L16,21.2.2021,2:59:03,204,20/02/2021,203
snip_2021_02_21_03_05_03_out.mp4,21.2.2021,3:05:06,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,21.2.2021,3:05:06,204,20/02/2021,203
snip_2021_02_21_03_05_04_in.mp4,21.2.2021,3:05:06,LS1 Einflug,1,1,1,1,S1,Eldena_L16,21.2.2021,3:05:06,204,20/02/2021,203
snip_2021_02_21_03_05_06_out.mp4,21.2.2021,3:05:09,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,21.2.2021,3:05:09,204,20/02/2021,203
snip_2021_02_21_03_05_10_in.mp4,21.2.2021,3:05:13,LS1 Einflug,1,1,0,1,S1,Eldena_L16,21.2.2021,3:05:13,204,20/02/2021,203
,21.2.2021,11:08:07,LS1 Einflug,NA,NA,NA,NA,S1,Eldena_L16,21.2.2021,11:08:07,204,20/02/2021,203
,21.2.2021,11:08:10,LS1 Ausflug,NA,NA,NA,NA,S1,Eldena_L16,21.2.2021,11:08:10,204,20/02/2021,203
snip_2021_02_21_18_42_21_out.mp4,21.2.2021,18:42:28,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,21.2.2021,18:42:28,204,21/02/2021,204
snip_2021_02_21_18_45_01_in.mp4,21.2.2021,18:45:08,LS1 Einflug,1,1,0,1,S1,Eldena_L16,21.2.2021,18:45:08,204,21/02/2021,204
snip_2021_02_21_19_19_57_out.mp4,21.2.2021,19:20:06,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,21.2.2021,19:20:06,204,21/02/2021,204
,NA,NA,,0,1,1,0,S1,Eldena_L16,21.2.2021,19:20:06,204,21/02/2021,204
snip_2021_02_21_19_20_01_out.mp4,21.2.2021,19:20:10,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,21.2.2021,19:20:10,204,21/02/2021,204
snip_2021_02_21_19_49_09_out.mp4,21.2.2021,19:49:17,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,21.2.2021,19:49:17,204,21/02/2021,204
,21.2.2021,19:49:17,LS1 Einflug,1,1,1,1,S1,Eldena_L16,21.2.2021,19:49:17,204,21/02/2021,204
,21.2.2021,19:49:17,LS1 Ausflug,-1,0,1,0,S1,Eldena_L16,21.2.2021,19:49:17,204,21/02/2021,204
snip_2021_02_21_19_49_17_out.mp4,21.2.2021,19:49:26,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,21.2.2021,19:49:26,204,21/02/2021,204
snip_2021_02_21_19_49_18_in.mp4,21.2.2021,19:49:26,LS1 Einflug,1,1,1,1,S1,Eldena_L16,21.2.2021,19:49:26,204,21/02/2021,204
snip_2021_02_21_20_22_32_in.mp4,21.2.2021,20:22:40,LS1 Einflug,0,-1,1,0,S1,Eldena_L16,21.2.2021,20:22:40,204,21/02/2021,204
,NA,NA,,1,1,1,1,S1,Eldena_L16,21.2.2021,20:22:40,204,21/02/2021,204
