Video.files,Date,Time,Event,EventC,VideoC,Innerloop,Accuracy,Week,Site,Date_auto,Time_auto,TimeofYear,pseudodate,pseudoday,flutter error,event missed
snip_2021_02_23_21_24_23_out.mp4,23.2.2021,21:24:46,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,23.2.2021,21:24:46,206,23/02/2021,206,0,
snip_2021_02_23_21_25_49_out.mp4,23.2.2021,21:26:12,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,23.2.2021,21:26:12,206,23/02/2021,206,0,
snip_2021_02_23_21_32_27_out.mp4,23.2.2021,21:32:49,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,23.2.2021,21:32:49,206,23/02/2021,206,0,
snip_2021_02_23_21_47_28_out.mp4,23.2.2021,21:47:50,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,23.2.2021,21:47:50,206,23/02/2021,206,0,
snip_2021_02_23_22_26_09_in.mp4,23.2.2021,22:26:32,LS3 Einflug,1,1,0,1,S1,Eldena_L8,23.2.2021,22:26:32,206,23/02/2021,206,0,
snip_2021_02_23_22_31_34_out.mp4,23.2.2021,22:31:58,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,23.2.2021,22:31:58,206,23/02/2021,206,0,
snip_2021_02_23_22_31_35_out.mp4,23.2.2021,22:31:58,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,23.2.2021,22:31:58,206,23/02/2021,206,0,
snip_2021_02_23_22_31_58_in.mp4,23.2.2021,22:32:21,LS3 Einflug,1,1,0,1,S1,Eldena_L8,23.2.2021,22:32:21,206,23/02/2021,206,0,
snip_2021_02_23_22_32_33_in.mp4,23.2.2021,22:32:56,LS3 Einflug,1,1,0,1,S1,Eldena_L8,23.2.2021,22:32:56,206,23/02/2021,206,0,
snip_2021_02_23_22_35_24_in.mp4,23.2.2021,22:35:47,LS3 Einflug,1,1,0,1,S1,Eldena_L8,23.2.2021,22:35:47,206,23/02/2021,206,0,
snip_2021_02_23_23_16_59_out.mp4,23.2.2021,23:17:23,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,23.2.2021,23:17:23,206,23/02/2021,206,0,
snip_2021_02_24_02_04_21_out.mp4,24.2.2021,0:32:19,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,24.2.2021,0:32:19,207,23/02/2021,206,0,
snip_2021_02_24_02_11_00_out.mp4,24.2.2021,2:11:25,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,24.2.2021,2:11:25,207,23/02/2021,206,0,
snip_2021_02_24_03_30_25_out.mp4,24.2.2021,3:30:50,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,24.2.2021,3:30:50,207,23/02/2021,206,0,
snip_2021_02_24_03_30_26_out.mp4,24.2.2021,3:30:50,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,24.2.2021,3:30:50,207,23/02/2021,206,0,
snip_2021_02_24_03_30_33_in.mp4,24.2.2021,3:30:57,LS3 Einflug,1,1,0,1,S1,Eldena_L8,24.2.2021,3:30:57,207,23/02/2021,206,0,
snip_2021_02_24_04_40_48_out.mp4,24.2.2021,4:41:13,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,24.2.2021,4:41:13,207,23/02/2021,206,0,
,24.2.2021,6:09:05,LS3 Ausflug,NA,NA,0,NA,S1,Eldena_L8,24.2.2021,6:09:05,207,23/02/2021,206,0,
,24.2.2021,14:12:50,LS3 Einflug,NA,NA,0,NA,S1,Eldena_L8,24.2.2021,14:12:50,207,24/02/2021,207,0,
,24.2.2021,14:13:06,LS3 Ausflug,NA,NA,0,NA,S1,Eldena_L8,24.2.2021,14:13:06,207,24/02/2021,207,0,
snip_2021_02_24_18_00_27_out.mp4,24.2.2021,18:00:56,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,24.2.2021,18:00:56,207,24/02/2021,207,0,
snip_2021_02_24_18_56_13_out.mp4,24.2.2021,18:56:42,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,24.2.2021,18:56:42,207,24/02/2021,207,0,
snip_2021_02_24_19_33_26_out.mp4,24.2.2021,19:33:56,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,24.2.2021,19:33:56,207,24/02/2021,207,0,
,24.2.2021,19:58:23,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,24.2.2021,19:58:23,207,24/02/2021,207,0,
,24.2.2021,20:20:10,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,24.2.2021,20:20:10,207,24/02/2021,207,0,
,24.2.2021,20:36:54,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,24.2.2021,20:36:54,207,24/02/2021,207,0,
,24.2.2021,22:45:33,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,24.2.2021,22:45:33,207,24/02/2021,207,0,
,24.2.2021,23:24:50,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,24.2.2021,23:24:50,207,24/02/2021,207,0,
,25.2.2021,0:45:19,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,0:45:19,208,24/02/2021,207,0,
,25.2.2021,0:45:42,LS3 Einflug,1,1,0,1,S1,Eldena_L8,25.2.2021,0:45:42,208,24/02/2021,207,0,
,25.2.2021,1:59:10,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,1:59:10,208,24/02/2021,207,0,
,25.2.2021,2:07:37,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,2:07:37,208,24/02/2021,207,0,
,25.2.2021,2:07:38,LS3 Einflug,1,1,0,1,S1,Eldena_L8,25.2.2021,2:07:38,208,24/02/2021,207,0,
,25.2.2021,2:07:42,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,2:07:42,208,24/02/2021,207,0,
