"Site","year","LB","lcl_adj","ucl_adj"
"Anklam","2021","316","267","365"
"Peenemuende","2021","292","237","350"
"Friedland","2021","225","103","354"
"Demmin","2021","189","169","231"
"Eldena","2021","649","586","714"
"Eldena_L8","2021","377","356","398"
"Eldena_L16","2021","382","314","455"
